Reference Designator,Component,Package,Position X (mm),Position Y (mm),Rotation (degrees),Layer
U1,NXP i.MX 8M Mini Quad,BGA-400,16.00,30.00,0.00,Top
U2,Xilinx Zynq MPSoC,BGA-484,48.00,30.00,0.00,Top
U3,Micron LPDDR4 4GB,BGA-178,16.00,70.00,0.00,Top
U4,Samsung eMMC 128GB,BGA-153,48.00,70.00,0.00,Top
U5,Bosch BNO080,LGA-28,16.00,110.00,0.00,Top
U6,Intel 9260NGW,M.2 (2230),48.00,110.00,0.00,Top
U7,Google Coral Edge TPU,M.2 Key E,16.00,150.00,0.00,Top
U8,TI DRV8432,HTSSOP-36,48.00,150.00,0.00,Top
U9,TI TPS65988,VQFN-48,16.00,190.00,0.00,Top
U10,Analog ADP5054,LFCSP-32,48.00,190.00,0.00,Top
C1-C20,100nF Capacitors,0805,32.00,225.00,0.00,Top
L1,Inductor (Power Filter),0603,20.00,40.00,0.00,Top
C21-C22,22uF Capacitors,0805,24.00,30.00,0.00,Top
R1-R2,10kΩ Resistors,0603,28.00,40.00,0.00,Top
U11,Crystal Oscillator,4-pin,30.00,20.00,0.00,Top
D1,Schottky Diode,SOD-123,34.00,30.00,0.00,Top
U12,Level Shifter,TSSOP-8,38.00,40.00,0.00,Top
Q1,N-Channel MOSFET,SOT-23,42.00,30.00,0.00,Top
C23-C24,100uF Capacitors,1210,46.00,40.00,0.00,Top
R3-R4,47Ω Resistors,0603,50.00,30.00,0.00,Top
U13,RTC (Real-Time Clock),SOIC-8,54.00,40.00,0.00,Top
U14,EEPROM,SOIC-8,58.00,30.00,0.00,Top
J1,Main Power Connector,Through-hole,62.00,40.00,0.00,Top
J2,Programming Header,Through-hole,66.00,30.00,0.00,Top
J3,UART Header,Through-hole,70.00,40.00,0.00,Top
